date,customer_id,sku,region,channel,quantity,unit_price,discount_pct,promotion_flag,inventory_on_hand,weather_index,holiday_flag,revenue,churned
2025-01-01,CUST-001,SKU-1001,North,Web,5,19.15,0.12,1,140,0.6,1,84.25,0
2025-01-01,CUST-002,SKU-1002,South,Store,6,23.44,0.05,0,142,0.6,1,133.62,0
2025-01-01,CUST-003,SKU-1003,East,App,8,27.01,0.05,0,144,0.6,1,205.28,0
2025-01-01,CUST-004,SKU-1004,West,Web,9,30.97,0.0,0,146,0.6,1,278.73,0
2025-01-01,CUST-005,SKU-1001,North,Store,9,18.98,0.05,0,148,0.6,1,162.27,0
2025-01-01,CUST-006,SKU-1002,South,App,5,22.82,0.05,0,150,0.6,1,108.4,0
2025-01-01,CUST-007,SKU-1003,East,Web,7,28.5,0.03,0,152,0.6,1,193.48,0
2025-01-01,CUST-008,SKU-1004,West,Store,9,32.22,0.0,0,154,0.6,1,289.98,0
2025-01-01,CUST-009,SKU-1001,North,App,8,20.65,0.03,0,156,0.6,1,160.24,0
2025-01-01,CUST-010,SKU-1002,South,Web,9,22.4,0.12,1,158,0.6,1,177.39,0
2025-01-01,CUST-011,SKU-1003,East,Store,5,29.14,0.0,0,160,0.6,1,145.7,0
2025-01-01,CUST-012,SKU-1004,West,App,6,31.7,0.03,0,162,0.6,1,184.5,0
2025-01-01,CUST-013,SKU-1001,North,Web,9,20.26,0.05,0,164,0.6,1,173.25,0
2025-01-01,CUST-014,SKU-1002,South,Store,8,23.9,0.03,0,166,0.6,1,185.44,0
2025-01-01,CUST-015,SKU-1003,East,App,9,26.95,0.05,0,168,0.6,1,230.4,0
2025-01-01,CUST-016,SKU-1004,West,Web,7,32.3,0.05,0,170,0.6,1,214.76,0
2025-01-01,CUST-017,SKU-1001,North,Store,6,19.23,0.05,0,172,0.6,1,109.62,0
2025-01-01,CUST-018,SKU-1002,South,App,7,23.32,0.0,0,174,0.6,1,163.24,0
2025-01-02,CUST-019,SKU-1002,South,Web,7,20.89,0.03,0,137,0.64,0,141.82,0
2025-01-02,CUST-020,SKU-1003,East,Store,8,23.44,0.03,0,139,0.64,0,181.92,0
2025-01-02,CUST-021,SKU-1004,West,App,8,27.16,0.05,0,141,0.64,0,206.4,0
2025-01-02,CUST-022,SKU-1001,North,Web,11,31.42,0.05,0,143,0.64,0,328.35,1
2025-01-02,CUST-023,SKU-1002,South,Store,11,18.93,0.05,0,145,0.64,0,197.78,0
2025-01-02,CUST-024,SKU-1003,East,App,5,24.57,0.03,0,147,0.64,0,119.15,0
2025-01-02,CUST-025,SKU-1004,West,Web,9,27.42,0.05,0,149,0.64,0,234.45,0
2025-01-02,CUST-026,SKU-1001,North,Store,9,32.14,0.0,0,151,0.64,0,289.26,0
2025-01-02,CUST-027,SKU-1002,South,App,8,18.12,0.12,1,153,0.64,0,127.6,0
2025-01-02,CUST-028,SKU-1003,East,Web,10,23.54,0.0,0,155,0.64,0,235.4,0
2025-01-02,CUST-029,SKU-1004,West,Store,6,29.03,0.05,0,157,0.64,0,165.48,0
2025-01-02,CUST-030,SKU-1001,North,App,8,31.54,0.03,0,159,0.64,0,244.72,0
2025-01-02,CUST-031,SKU-1002,South,Web,9,20.96,0.0,0,161,0.64,0,188.64,0
2025-01-02,CUST-032,SKU-1003,East,Store,9,23.41,0.05,0,163,0.64,0,200.16,0
2025-01-02,CUST-033,SKU-1004,West,App,11,28.1,0.03,0,165,0.64,0,299.86,0
2025-01-02,CUST-034,SKU-1001,North,Web,6,32.99,0.0,0,167,0.64,0,197.94,0
2025-01-02,CUST-035,SKU-1002,South,Store,6,21.24,0.03,0,169,0.64,0,123.6,0
2025-01-02,CUST-036,SKU-1003,East,App,7,21.78,0.12,1,171,0.64,0,134.19,0
2025-01-03,CUST-037,SKU-1003,East,Web,7,19.02,0.05,0,134,0.68,0,126.49,0
2025-01-03,CUST-038,SKU-1004,West,Store,6,23.81,0.03,0,136,0.68,0,138.6,0
2025-01-03,CUST-039,SKU-1001,North,App,8,28.24,0.03,0,138,0.68,0,219.12,0
2025-01-03,CUST-040,SKU-1002,South,Web,11,33.18,0.0,0,140,0.68,0,364.98,0
2025-01-03,CUST-041,SKU-1003,East,Store,9,20.45,0.05,0,142,0.68,0,174.87,0
2025-01-03,CUST-042,SKU-1004,West,App,7,24.63,0.03,0,144,0.68,0,167.23,0
2025-01-03,CUST-043,SKU-1001,North,Web,7,27.03,0.03,0,146,0.68,0,183.54,0
2025-01-03,CUST-044,SKU-1002,South,Store,10,29.56,0.12,1,148,0.68,0,260.1,0
2025-01-03,CUST-045,SKU-1003,East,App,11,20.55,0.0,0,150,0.68,0,226.05,0
